




County                        Registered Voters             Ballots Cast                  Voter Turnout                 
LAURENS 1                     719                           451                           62.73%
LAURENS 2                     570                           314                           55.09%
LAURENS 3                     1029                          569                           55.30%
LAURENS 4                     838                           549                           65.51%
LAURENS 5                     1572                          1184                          75.32%
LAURENS 6                     1275                          1014                          79.53%
BAILEY                        1043                          778                           74.59%
TRINITY RIDGE                 1437                          1109                          77.17%
WATTSVILLE                    1442                          973                           67.48%
BARKSDALE-NARINE              1015                          742                           73.10%
MADDENS                       1215                          914                           75.23%
CLINTON 1                     1495                          979                           65.48%
CLINTON 2                     1536                          998                           64.97%
JOANNA                        1698                          1240                          73.03%
LYDIA MILL                    1255                          850                           67.73%
MOUNTVILLE                    633                           481                           75.99%
CLINTON 3                     1430                          1150                          80.42%
JONES                         1734                          1214                          70.01%
OWINGS                        817                           586                           71.73%
GRAY COURT                    1378                          970                           70.39%
GREENPOND                     1686                          1294                          76.75%
COOKS                         2800                          1868                          66.71%
YOUNGS                        1266                          929                           73.38%
ORA-LANFORD                   923                           711                           77.03%
LONG BRANCH                   1219                          971                           79.66%
CROSS HILL                    1773                          1316                          74.22%
WATERLOO                      1613                          1317                          81.65%
MARTINS-POPLAR SPRINGS        717                           554                           77.27%
EKOM                          664                           493                           74.25%
MOUNT OLIVE                   1137                          878                           77.22%
HICKORY TAVERN                2436                          1829                          75.08%
CLINTON MILL                  1413                          862                           61.00%
BREWERTON-PRINCETON           740                           561                           75.81%
Failsafe                      0                             37                            0.00%
Provisional                   0                             33                            0.00%
Failsafe Provisional          0                             21                            0.00%
Total:                        42518                         30739                         72.30%

                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       STRAIGHT PARTY 1 (Vote For 1)
                                                            Constitution                                                                                                                                                                                                      Green                                                                                                                                                                                                             Republican                                                                                                                                                                                                        Alliance                                                                                                                                                                                                          Libertarian                                                                                                                                                                                                       Democratic                                                                                                                                                                                                        
County                        Registered Voters             Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Total                         
ORA-LANFORD                   923                           1                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             0                             0                             233                           62                            8                             0                             0                             0                             303                           0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             1                             86                            72                            9                             0                             0                             0                             167                           472                           
LONG BRANCH                   1219                          2                             0                             0                             0                             0                             0                             2                             1                             0                             0                             0                             0                             0                             1                             397                           138                           12                            0                             0                             0                             547                           0                             0                             0                             0                             0                             0                             0                             1                             1                             0                             0                             0                             0                             2                             43                            82                            9                             0                             0                             0                             134                           686                           
CROSS HILL                    1773                          2                             0                             0                             0                             0                             0                             2                             1                             0                             0                             0                             0                             0                             1                             497                           156                           15                            0                             0                             0                             668                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             221                           84                            45                            0                             0                             0                             350                           1021                          
WATERLOO                      1613                          0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             486                           173                           41                            0                             0                             0                             700                           0                             0                             0                             0                             0                             0                             0                             2                             0                             0                             0                             0                             0                             2                             136                           131                           39                            0                             0                             0                             306                           1008                          
MARTINS-POPLAR SPRINGS        717                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             303                           36                            6                             0                             0                             0                             345                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             41                            15                            4                             0                             0                             0                             60                            405                           
EKOM                          664                           1                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             0                             0                             207                           61                            9                             0                             0                             0                             277                           0                             0                             0                             0                             0                             0                             0                             1                             0                             1                             0                             0                             0                             2                             34                            23                            2                             0                             0                             0                             59                            339                           
MOUNT OLIVE                   1137                          0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             467                           76                            20                            0                             0                             0                             563                           0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             1                             24                            23                            8                             0                             0                             0                             55                            619                           
HICKORY TAVERN                2436                          3                             0                             1                             0                             0                             0                             4                             0                             0                             0                             0                             0                             0                             0                             808                           257                           50                            0                             0                             0                             1115                          0                             0                             1                             0                             0                             0                             1                             4                             1                             0                             0                             0                             0                             5                             89                            69                            25                            0                             0                             0                             183                           1308                          
CLINTON MILL                  1413                          0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             1                             178                           23                            1                             0                             0                             0                             202                           0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             1                             226                           139                           65                            0                             0                             0                             430                           634                           
BREWERTON-PRINCETON           740                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             317                           45                            20                            0                             0                             0                             382                           0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             1                             20                            4                             2                             0                             0                             0                             26                            409                           
