




County                        Registered Voters             Ballots Cast                  Voter Turnout                 
Wadmalaw Island 2             1115                          248                           248                           3                             3                             3                             3                             4                             4                             121                           121                           0                             0                             0                             0                             379                           
Kiawah Island                 1771                          104                           104                           0                             0                             1                             1                             1                             1                             319                           319                           4                             4                             0                             0                             429                           
Town of Seabrook              2079                          173                           173                           2                             2                             0                             0                             1                             1                             429                           429                           3                             3                             0                             0                             608                           
Folly Beach 1                 1011                          123                           123                           0                             0                             0                             0                             2                             2                             163                           163                           2                             2                             0                             0                             290                           
Folly Beach 2                 1237                          118                           118                           1                             1                             2                             2                             1                             1                             220                           220                           2                             2                             0                             0                             344                           
Charleston 1                  798                           47                            47                            0                             0                             0                             0                             2                             2                             124                           124                           1                             1                             0                             0                             174                           
Charleston 2                  948                           53                            53                            0                             0                             0                             0                             0                             0                             154                           154                           1                             1                             0                             0                             208                           
Charleston 3                  1054                          89                            89                            0                             0                             1                             1                             3                             3                             117                           117                           2                             2                             0                             0                             212                           
Charleston 4                  936                           103                           103                           1                             1                             0                             0                             1                             1                             82                            82                            1                             1                             0                             0                             188                           
Charleston 5                  942                           77                            77                            0                             0                             0                             0                             2                             2                             81                            81                            2                             2                             0                             0                             162                           
Charleston 6                  1293                          154                           154                           3                             3                             0                             0                             5                             5                             96                            96                            2                             2                             0                             0                             260                           
Charleston 7                  1404                          141                           141                           0                             0                             1                             1                             0                             0                             72                            72                            2                             2                             0                             0                             216                           
Charleston 8                  1148                          213                           213                           2                             2                             1                             1                             5                             5                             14                            14                            1                             1                             0                             0                             236                           
Charleston 9                  960                           153                           153                           2                             2                             0                             0                             2                             2                             37                            37                            4                             4                             0                             0                             198                           
Charleston 10                 848                           114                           114                           0                             0                             2                             2                             3                             3                             22                            22                            1                             1                             0                             0                             142                           
Charleston 11                 1575                          180                           180                           1                             1                             0                             0                             2                             2                             65                            65                            2                             2                             0                             0                             250                           
Charleston 12                 1373                          209                           209                           2                             2                             1                             1                             2                             2                             65                            65                            3                             3                             0                             0                             282                           
Charleston 13                 1202                          233                           233                           1                             1                             1                             1                             2                             2                             23                            23                            1                             1                             0                             0                             261                           
Charleston 14                 1124                          160                           160                           5                             5                             0                             0                             1                             1                             28                            28                            1                             1                             0                             0                             195                           
Charleston 15                 1304                          267                           267                           6                             6                             5                             5                             4                             4                             12                            12                            4                             4                             0                             0                             298                           
Charleston 16                 1180                          274                           274                           3                             3                             0                             0                             5                             5                             33                            33                            1                             1                             0                             0                             316                           
Charleston 17                 1228                          165                           165                           4                             4                             1                             1                             3                             3                             33                            33                            0                             0                             0                             0                             206                           
Charleston 18                 1434                          326                           326                           3                             3                             4                             4                             1                             1                             16                            16                            1                             1                             0                             0                             351                           
Charleston 19                 803                           192                           192                           2                             2                             0                             0                             2                             2                             19                            19                            0                             0                             0                             0                             215                           
Charleston 20                 1294                          272                           272                           0                             0                             0                             0                             6                             6                             67                            67                            1                             1                             0                             0                             346                           
Charleston 21                 718                           187                           187                           3                             3                             3                             3                             2                             2                             12                            12                            0                             0                             0                             0                             207                           
Mt. Pleasant 1                1497                          118                           118                           0                             0                             2                             2                             2                             2                             214                           214                           2                             2                             0                             0                             338                           
Mt. Pleasant 2                1199                          97                            97                            4                             4                             1                             1                             1                             1                             160                           160                           2                             2                             0                             0                             265                           
Mt. Pleasant 3                1651                          169                           169                           2                             2                             1                             1                             1                             1                             162                           162                           0                             0                             2                             2                             337                           
Mt. Pleasant 4                1592                          141                           141                           1                             1                             0                             0                             3                             3                             200                           200                           5                             5                             0                             0                             350                           
Mt. Pleasant 5                1338                          70                            70                            1                             1                             1                             1                             1                             1                             224                           224                           3                             3                             0                             0                             300                           
Mt. Pleasant 6                2075                          144                           144                           3                             3                             1                             1                             3                             3                             252                           252                           4                             4                             0                             0                             407                           
Mt. Pleasant 7                994                           79                            79                            0                             0                             0                             0                             2                             2                             118                           118                           3                             3                             0                             0                             202                           
