




County                        Registered Voters             Ballots Cast                  Voter Turnout                 
Airport                       1304                          886                           67.94%
Antioch                       894                           656                           73.38%
Bethune                       1263                          905                           71.65%
Buffalo                       1078                          755                           70.04%
Camden No. 1                  1671                          1129                          67.56%
Camden No. 2 & 3              416                           291                           69.95%
Hobkirk's Hill                1835                          1378                          75.10%
Camden No. 5                  972                           734                           75.51%
Camden No. 5-A                616                           433                           70.29%
Camden No. 6                  418                           302                           72.25%
Cassatt                       1691                          1079                          63.81%
Charlotte Thompson            1678                          1239                          73.84%
Doby's Mill                   2099                          1332                          63.46%
E. Camden-Hermitage           592                           375                           63.34%
Elgin No. 1                   2478                          1850                          74.66%
Elgin No. 2                   1905                          1356                          71.18%
Elgin No. 3                   1489                          1068                          71.73%
Elgin No. 4                   2189                          1468                          67.06%
Elgin No. 5                   1516                          1058                          69.79%
Elgin No. 6                   1411                          947                           67.12%
Gates Ford                    374                           273                           72.99%
Liberty Hill                  600                           461                           76.83%
Lugoff No. 1                  1398                          983                           70.31%
Lugoff No. 2                  2010                          1432                          71.24%
Lugoff No. 3                  1764                          1275                          72.28%
Lugoff No. 4                  1479                          1144                          77.35%
Malvern Hill                  1494                          1078                          72.16%
Rabon's X Roads               2139                          1644                          76.86%
Riverdale                     917                           546                           59.54%
Salt Pond                     1483                          1001                          67.50%
Shaylor's Hill                1020                          746                           73.14%
Springdale                    1970                          1494                          75.84%
Westville                     1709                          1218                          71.27%
Whites Gardens                1819                          1285                          70.64%
Failsafe                      0                             0                             0.00%
Provisional                   0                             12                            0.00%
Failsafe Provisional          0                             7                             0.00%
Total:                        47691                         33840                         70.96%

                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       STRAIGHT PARTY 1 (Vote For 1)
                                                            Constitution                                                                                                                                                                                                      Green                                                                                                                                                                                                             Republican                                                                                                                                                                                                        Alliance                                                                                                                                                                                                          Libertarian                                                                                                                                                                                                       Democratic                                                                                                                                                                                                        
County                        Registered Voters             Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Election Day                  In-Person Absentee            Absentee By Mail              Failsafe                      Provisional                   Failsafe Provisional          Choice Total                  Total                         
Lugoff No. 2                  2010                          0                             1                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             0                             0                             241                           269                           36                            0                             0                             0                             546                           0                             0                             0                             0                             0                             0                             0                             0                             3                             0                             0                             0                             0                             3                             65                            172                           47                            0                             0                             0                             284                           834                           
Lugoff No. 3                  1764                          0                             0                             1                             0                             0                             0                             1                             1                             0                             0                             0                             0                             0                             1                             307                           208                           32                            0                             0                             0                             547                           0                             0                             0                             0                             0                             0                             0                             3                             0                             0                             0                             0                             0                             3                             67                            101                           26                            0                             0                             0                             194                           746                           
Lugoff No. 4                  1479                          0                             1                             0                             0                             0                             0                             1                             1                             0                             0                             0                             0                             0                             1                             215                           226                           38                            0                             0                             0                             479                           0                             0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             1                             46                            85                            45                            0                             0                             0                             176                           658                           
Malvern Hill                  1494                          0                             1                             0                             0                             0                             0                             1                             1                             0                             0                             0                             0                             0                             1                             187                           141                           25                            0                             0                             0                             353                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             120                           190                           46                            0                             0                             0                             356                           711                           
Rabon's X Roads               2139                          0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             463                           245                           61                            0                             0                             0                             769                           0                             0                             0                             0                             0                             0                             0                             1                             0                             2                             0                             0                             0                             3                             63                            140                           45                            0                             0                             0                             248                           1020                          
Riverdale                     917                           0                             1                             0                             0                             0                             0                             1                             0                             1                             0                             0                             0                             0                             1                             20                            30                            8                             0                             0                             0                             58                            0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             114                           184                           43                            0                             0                             0                             341                           401                           
Salt Pond                     1483                          2                             1                             0                             0                             0                             0                             3                             0                             0                             1                             0                             0                             0                             1                             242                           209                           23                            0                             0                             0                             474                           1                             1                             0                             0                             0                             0                             2                             3                             0                             0                             0                             0                             0                             3                             58                            83                            27                            0                             0                             0                             168                           651                           
Shaylor's Hill                1020                          0                             0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             1                             119                           101                           24                            0                             0                             0                             244                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             54                            105                           25                            0                             0                             0                             184                           429                           
Springdale                    1970                          0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             116                           206                           30                            0                             0                             0                             352                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             102                           254                           83                            0                             0                             0                             439                           791                           
Westville                     1709                          0                             0                             1                             0                             0                             0                             1                             1                             0                             0                             0                             0                             0                             1                             385                           192                           26                            0                             0                             0                             603                           0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             1                             75                            82                            20                            0                             0                             0                             177                           783                           
