




County                        Registered Voters             Ballots Cast                  Voter Turnout                 
EAST LORIS                    2547                          331                           331                           7                             7                             2                             2                             3                             3                             521                           521                           4                             4                             0                             0                             868                           
EBENEZER                      2034                          188                           188                           2                             2                             1                             1                             0                             0                             614                           614                           8                             8                             0                             0                             813                           
EMERALD FOREST #1             2519                          243                           243                           3                             3                             4                             4                             3                             3                             402                           402                           4                             4                             0                             0                             659                           
EMERALD FOREST #2             3922                          401                           401                           4                             4                             3                             3                             1                             1                             713                           713                           8                             8                             0                             0                             1130                          
EMERALD FOREST #3             2524                          246                           246                           5                             5                             3                             3                             4                             4                             538                           538                           9                             9                             0                             0                             805                           
ENTERPRISE                    3594                          377                           377                           5                             5                             1                             1                             1                             1                             826                           826                           5                             5                             5                             5                             1220                          
FORESTBROOK                   3214                          313                           313                           8                             8                             3                             3                             3                             3                             700                           700                           4                             4                             1                             1                             1032                          
FOUR MILE                     1758                          170                           170                           10                            10                            3                             3                             1                             1                             408                           408                           5                             5                             0                             0                             597                           
GALLIVANTS FERRY              162                           15                            15                            0                             0                             0                             0                             0                             0                             47                            47                            0                             0                             0                             0                             62                            
GARDEN CITY #1                2019                          137                           137                           1                             1                             2                             2                             2                             2                             534                           534                           4                             4                             0                             0                             680                           
GARDEN CITY #2                1344                          77                            77                            0                             0                             1                             1                             0                             0                             407                           407                           4                             4                             0                             0                             489                           
GARDEN CITY #3                1836                          188                           188                           0                             0                             1                             1                             1                             1                             415                           415                           5                             5                             0                             0                             610                           
GARDEN CITY #4                1141                          133                           133                           1                             1                             3                             3                             2                             2                             281                           281                           5                             5                             0                             0                             425                           
GLENNS BAY                    2114                          196                           196                           1                             1                             5                             5                             1                             1                             488                           488                           5                             5                             0                             0                             696                           
GREEN SEA                     819                           95                            95                            1                             1                             1                             1                             1                             1                             240                           240                           2                             2                             0                             0                             340                           
HICKORY GROVE                 1453                          100                           100                           3                             3                             1                             1                             0                             0                             423                           423                           1                             1                             0                             0                             528                           
HICKORY HILL                  149                           13                            13                            0                             0                             0                             0                             0                             0                             53                            53                            0                             0                             0                             0                             66                            
HOMEWOOD                      1495                          164                           164                           1                             1                             1                             1                             0                             0                             308                           308                           7                             7                             0                             0                             481                           
HORRY                         1109                          39                            39                            2                             2                             1                             1                             1                             1                             342                           342                           3                             3                             0                             0                             388                           
INLAND                        340                           54                            54                            1                             1                             1                             1                             1                             1                             84                            84                            0                             0                             0                             0                             141                           
JACKSON BLUFF                 616                           38                            38                            1                             1                             0                             0                             1                             1                             155                           155                           1                             1                             0                             0                             196                           
JAMESTOWN                     3104                          440                           440                           9                             9                             3                             3                             1                             1                             516                           516                           8                             8                             0                             0                             977                           
JERIGANS CROSSROADS           638                           37                            37                            1                             1                             2                             2                             0                             0                             220                           220                           1                             1                             0                             0                             261                           
JET PORT #1                   1978                          203                           203                           3                             3                             3                             3                             0                             0                             380                           380                           1                             1                             0                             0                             590                           
JET PORT #2                   4998                          467                           467                           1                             1                             2                             2                             4                             4                             957                           957                           5                             5                             0                             0                             1436                          
JORDANVILLE                   485                           7                             7                             0                             0                             0                             0                             3                             3                             168                           168                           1                             1                             0                             0                             179                           
JOYNER SWAMP                  407                           14                            14                            0                             0                             0                             0                             0                             0                             127                           127                           0                             0                             0                             0                             141                           
JUNIPER BAY                   1743                          104                           104                           1                             1                             0                             0                             0                             0                             489                           489                           2                             2                             0                             0                             596                           
LAKE PARK #1                  2103                          168                           168                           1                             1                             1                             1                             1                             1                             368                           368                           7                             7                             5                             5                             551                           
LEON                          1669                          316                           316                           5                             5                             1                             1                             0                             0                             311                           311                           3                             3                             0                             0                             636                           
LITTLE RIVER #1               1601                          154                           154                           5                             5                             2                             2                             1                             1                             424                           424                           3                             3                             0                             0                             589                           
LITTLE RIVER #2               2908                          268                           268                           4                             4                             4                             4                             1                             1                             749                           749                           4                             4                             0                             0                             1030                          
LITTLE RIVER #3               2061                          200                           200                           2                             2                             1                             1                             0                             0                             617                           617                           7                             7                             0                             0                             827                           
