




County                        Registered Voters             Ballots Cast                  Voter Turnout                 
CAROLINA FOREST #2            2688                          1                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             0                             0                             322                           327                           66                            0                             0                             0                             715                           0                             0                             0                             0                             0                             0                             0                             1                             1                             1                             0                             0                             0                             3                             111                           184                           63                            0                             0                             0                             358                           1077                          
CEDAR GROVE                   980                           2                             0                             0                             0                             0                             0                             2                             0                             0                             0                             0                             0                             0                             0                             352                           82                            11                            0                             0                             0                             445                           0                             0                             0                             0                             0                             0                             0                             3                             0                             0                             0                             0                             0                             3                             31                            25                            2                             0                             0                             0                             58                            508                           
CHERRY GROVE #1               2256                          0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             466                           353                           85                            0                             0                             0                             904                           0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             1                             71                            79                            41                            0                             0                             0                             191                           1096                          
CHERRY GROVE #2               2371                          0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             402                           471                           72                            0                             0                             0                             945                           0                             1                             0                             0                             0                             0                             1                             2                             1                             1                             0                             0                             0                             4                             58                            128                           74                            0                             0                             0                             260                           1210                          
COASTAL CAROLINA              1946                          1                             0                             0                             0                             0                             0                             1                             0                             1                             0                             0                             0                             0                             1                             183                           133                           27                            0                             0                             0                             343                           0                             0                             0                             0                             0                             0                             0                             3                             1                             0                             0                             0                             0                             4                             105                           110                           38                            0                             0                             0                             253                           602                           
COASTAL LANE #1               1242                          0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             1                             37                            24                            9                             0                             0                             0                             70                            0                             0                             0                             0                             0                             0                             0                             2                             1                             0                             0                             0                             0                             3                             227                           147                           57                            0                             0                             0                             431                           505                           
COASTAL LANE #2               1742                          0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             1                             121                           44                            17                            0                             0                             0                             182                           1                             0                             0                             0                             0                             0                             1                             3                             0                             0                             0                             0                             0                             3                             261                           96                            42                            0                             0                             0                             399                           586                           
COOL SPRINGS                  470                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             208                           23                            1                             0                             0                             0                             232                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             31                            8                             2                             0                             0                             0                             41                            273                           
CRESENT                       2253                          1                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             0                             0                             288                           332                           78                            0                             0                             0                             698                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             72                            87                            59                            0                             0                             0                             218                           917                           
DAISY                         1546                          2                             0                             0                             0                             0                             0                             2                             0                             0                             0                             0                             0                             0                             0                             497                           81                            32                            0                             0                             0                             610                           0                             0                             0                             0                             0                             0                             0                             2                             0                             0                             0                             0                             0                             2                             87                            50                            22                            0                             0                             0                             159                           773                           
DEERFIELD                     3169                          0                             0                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             1                             519                           431                           155                           0                             0                             0                             1105                          0                             0                             0                             0                             0                             0                             0                             3                             0                             1                             0                             0                             0                             4                             129                           158                           97                            0                             0                             0                             384                           1494                          
DOGBLUFF                      1208                          1                             0                             0                             0                             0                             0                             1                             0                             0                             0                             0                             0                             0                             0                             455                           104                           20                            0                             0                             0                             579                           0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             0                             34                            14                            10                            0                             0                             0                             58                            638                           
